x,45-50,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
0.4813,0.0735,0.0717,0.0878,0.0868,0.0545,0.0197,0.0938,0.0495,0.0716
0.4813,0.0735,0.0717,0.0878,0.0868,0.0545,0.0197,0.0938,0.0495,0.0716
0.4813,0.0735,0.0717,0.0878,0.0868,0.0545,0.0197,0.0938,0.0495,0.0716
0.4856,0.0734,0.0717,0.0877,0.0871,0.0547,0.0198,0.0938,0.0496,0.0716
0.4871,0.0734,0.0717,0.0876,0.0872,0.0548,0.0199,0.0938,0.0496,0.0716
0.4944,0.0733,0.0716,0.0874,0.0876,0.0553,0.0201,0.0939,0.0497,0.0717
0.4954,0.0733,0.0716,0.0874,0.0876,0.0554,0.0201,0.0939,0.0498,0.0717
0.5012,0.0732,0.0716,0.0872,0.0879,0.0557,0.0203,0.0939,0.0498,0.0717
0.5012,0.0732,0.0716,0.0872,0.0879,0.0557,0.0203,0.0939,0.0498,0.0717
3.4846,0.1609,0.0713,0.0158,0.2514,0.161,0.1129,0.1084,0.0958,0.0873
3.5133,0.164,0.0714,0.0155,0.253,0.1609,0.1138,0.1085,0.0962,0.0874
3.5158,0.1643,0.0714,0.0155,0.2532,0.1609,0.1139,0.1085,0.0963,0.0875
6.4936,0.5997,0.0869,0.0871,0.4266,0.1259,0.2133,0.1275,0.1422,0.103
6.4941,0.5997,0.0869,0.0872,0.4266,0.1259,0.2134,0.1275,0.1422,0.103
7.466,0.644,0.0932,0.1787,0.4888,0.1605,0.2493,0.1357,0.1572,0.1081
7.4686,0.644,0.0933,0.179,0.489,0.1607,0.2494,0.1357,0.1572,0.1081
8.4986,0.6174,0.1034,0.3185,0.5615,0.3227,0.2911,0.1461,0.1731,0.1136
8.5107,0.6173,0.1036,0.3204,0.5624,0.3257,0.2916,0.1463,0.1733,0.1136
9.4619,0.7027,0.1564,0.4827,0.641,0.5797,0.3357,0.1581,0.188,0.1186
9.4723,0.7038,0.1577,0.4847,0.642,0.5818,0.3362,0.1582,0.1882,0.1187
9.4827,0.7048,0.1591,0.4866,0.6429,0.5838,0.3367,0.1584,0.1883,0.1187
9.4856,0.7051,0.1595,0.4871,0.6432,0.5844,0.3369,0.1584,0.1884,0.1188
10.4705,0.7559,0.3966,0.6729,0.7444,0.693,0.3936,0.174,0.2036,0.1239
10.4859,0.757,0.4007,0.6756,0.7461,0.6939,0.3946,0.1742,0.2038,0.124
10.4941,0.7576,0.4029,0.6771,0.7471,0.6943,0.3952,0.1744,0.204,0.1241
11.4771,0.9099,0.5998,0.7558,0.8676,0.722,0.4742,0.1951,0.2192,0.1293
11.4853,0.9119,0.6013,0.756,0.8685,0.7221,0.475,0.1953,0.2193,0.1293
11.4895,0.9129,0.602,0.7562,0.8689,0.7222,0.4755,0.1954,0.2194,0.1293
11.4994,0.9154,0.6037,0.7565,0.8699,0.7223,0.4765,0.1957,0.2195,0.1294
11.5098,0.918,0.6055,0.757,0.871,0.7224,0.4775,0.1959,0.2197,0.1294
12.4717,1.2548,0.8589,0.891,0.9713,0.7477,0.6122,0.2257,0.2346,0.1345
12.4915,1.264,0.8675,0.8944,0.9752,0.7495,0.6159,0.2264,0.2349,0.1346
12.4973,1.2667,0.8701,0.8953,0.9764,0.75,0.617,0.2267,0.235,0.1347
12.4974,1.2668,0.8701,0.8954,0.9765,0.75,0.617,0.2267,0.235,0.1347
12.5002,1.2681,0.8714,0.8958,0.977,0.7503,0.6175,0.2268,0.2351,0.1347
12.701,1.3676,0.97,0.9306,1.034,0.779,0.6558,0.2352,0.2382,0.1357
12.7273,1.3813,0.984,0.9353,1.0445,0.7844,0.6608,0.2363,0.2386,0.1359
13.3036,1.7262,1.3259,1.0719,1.3986,0.9526,0.7666,0.2679,0.2476,0.1389
13.3297,1.7437,1.3418,1.0805,1.3957,0.956,0.7706,0.2697,0.248,0.1391
13.4799,1.8466,1.4312,1.1353,1.333,0.9569,0.7905,0.2807,0.2503,0.1399
13.4953,1.8574,1.4401,1.1416,1.3248,0.9562,0.7922,0.2819,0.2506,0.14
13.5001,1.8608,1.4429,1.1435,1.3222,0.956,0.7927,0.2823,0.2507,0.14
13.5068,1.8655,1.4468,1.1463,1.3186,0.9557,0.7934,0.2828,0.2508,0.14
13.8536,2.1257,1.644,1.318,1.31,1.0445,0.8204,0.3161,0.2562,0.1419
13.8537,2.1258,1.644,1.318,1.31,1.0445,0.8204,0.3161,0.2562,0.1419
14.2727,2.5003,1.9507,1.5989,1.9998,1.4976,0.8674,0.3913,0.2627,0.1441
14.4301,2.6653,2.0991,1.7239,2.1953,1.6458,0.9126,0.4917,0.2652,0.1449
14.4562,2.6943,2.1255,1.7456,2.2105,1.6641,0.9225,0.5204,0.2656,0.1451
14.4822,2.7236,2.1523,1.7675,2.2203,1.68,0.933,0.5354,0.266,0.1452
14.4831,2.7247,2.1533,1.7683,2.2206,1.6806,0.9334,0.5358,0.266,0.1452
14.5021,2.7464,2.1732,1.7845,2.2245,1.6907,0.9415,0.5428,0.2663,0.1453
14.5052,2.7501,2.1765,1.7872,2.2249,1.6923,0.9429,0.5438,0.2664,0.1453
14.849,3.1839,2.5719,2.1046,2.1287,1.7673,1.1329,0.5917,0.2717,0.1472
14.9802,3.364,2.7352,2.2374,2.1953,1.8221,1.2124,0.6018,0.2738,0.1479
15.0063,3.4005,2.7684,2.2646,2.2264,1.8411,1.2284,0.6038,0.2742,0.148
15.478,4.0686,3.3922,2.8017,3.2576,2.4868,1.5343,0.6443,0.2816,0.1505
15.4969,4.0951,3.418,2.8251,3.2747,2.5103,1.5473,0.6465,0.2819,0.1507
15.5303,4.1417,3.4636,2.867,3.2757,2.5493,1.5707,0.6506,0.2824,0.1508
15.5368,4.1507,3.4725,2.8751,3.271,2.5565,1.5752,0.6514,0.2825,0.1509
15.6611,4.3232,3.6434,3.0355,3.0167,2.6701,1.664,0.6696,0.2845,0.1515
15.7399,4.432,3.7523,3.1402,2.992,2.7245,1.7218,0.6845,0.2857,0.152
15.7657,4.4677,3.788,3.1749,3.0125,2.7401,1.741,0.6902,0.2862,0.1521
15.7662,4.4684,3.7887,3.1756,3.0129,2.7404,1.7414,0.6903,0.2862,0.1521
16.1066,4.9451,4.2595,3.6429,3.5988,2.9034,2.0029,0.8341,0.2915,0.1539
16.2901,5.2119,4.513,3.8924,3.8772,3.0184,2.15,0.9915,0.2944,0.1549
16.3426,5.2901,4.5855,3.9622,3.9208,3.0613,2.193,1.0299,0.2953,0.1552
16.3683,5.3286,4.6208,3.996,3.9341,3.0841,2.2141,1.0443,0.2957,0.1553
16.494,5.5215,4.793,4.1578,3.9373,3.2128,2.3193,1.0844,0.2977,0.156
16.6044,5.6966,4.942,4.2945,3.9098,3.346,2.4144,1.0992,0.2994,0.1566
16.6566,5.7816,5.0118,4.3577,3.9145,3.4142,2.4607,1.1033,0.3003,0.1569
16.7355,5.9128,5.1164,4.4518,3.9657,3.5209,2.5332,1.108,0.3015,0.1573
16.7356,5.9131,5.1166,4.452,3.9659,3.5212,2.5334,1.108,0.3015,0.1573
16.7358,5.9134,5.1168,4.4522,3.966,3.5213,2.5335,1.108,0.3015,0.1573
16.9969,6.3743,5.4633,4.7572,4.4274,3.8809,2.7972,1.1327,0.3057,0.1587
17.207,6.7723,5.7548,5.0023,4.8286,4.1427,3.0057,1.1928,0.3091,0.1598
17.2854,6.927,5.8716,5.0953,4.9391,4.2256,3.0804,1.2262,0.3103,0.1603
17.2857,6.9276,5.872,5.0956,4.9395,4.2259,3.0807,1.2263,0.3103,0.1603
17.312,6.9804,5.9133,5.1272,4.9688,4.2518,3.1055,1.2387,0.3108,0.1604
17.501,7.3712,6.2607,5.3599,5.0887,4.4213,3.2806,1.3403,0.3138,0.1614
17.5421,7.4593,6.3402,5.4122,5.1025,4.4574,3.3181,1.3643,0.3145,0.1616
17.5994,7.5846,6.4441,5.4868,5.1209,4.5096,3.3704,1.3983,0.3154,0.162
17.6527,7.7037,6.533,5.5572,5.1409,4.5609,3.4187,1.4299,0.3163,0.1622
17.7571,7.9482,6.6937,5.6986,5.2051,4.6739,3.513,1.4919,0.318,0.1628
17.7577,7.9495,6.6945,5.6993,5.2056,4.6745,3.5135,1.4922,0.318,0.1628
17.8358,8.1481,6.8092,5.8071,5.2936,4.7711,3.5837,1.5381,0.3193,0.1632
18.2282,9.0845,7.3769,6.3503,6.1787,5.3099,3.9322,1.7524,0.3257,0.1654
18.2553,9.1376,7.4182,6.3865,6.2325,5.345,3.9561,1.7655,0.3262,0.1655
18.2818,9.1888,7.4595,6.4217,6.28,5.3784,3.9794,1.7781,0.3266,0.1656
18.3337,9.2879,7.543,6.4895,6.3559,5.441,4.0249,1.802,0.3275,0.1659
18.3597,9.337,7.5863,6.523,6.3845,5.4706,4.0477,1.8138,0.3279,0.1661
18.4964,9.591,7.8252,6.6915,6.4515,5.6043,4.1668,1.8737,0.3371,0.1668
18.4994,9.5965,7.8304,6.6949,6.4518,5.6069,4.1693,1.875,0.3372,0.1668
18.6739,9.9159,8.1255,6.8911,6.436,5.7394,4.3197,1.9529,0.3439,0.1678
18.6745,9.917,8.1265,6.8917,6.4359,5.7399,4.3202,1.9531,0.3439,0.1678
18.8045,10.1537,8.3256,7.0286,6.4239,5.8313,4.4305,2.0179,0.3499,0.1685
18.9099,10.3457,8.4811,7.1369,6.4369,5.9132,4.5185,2.0768,0.3554,0.169
18.9362,10.3936,8.5193,7.1638,6.4444,5.9356,4.5403,2.0922,0.3569,0.1692
19.2771,11.021,9.0117,7.5229,6.6684,6.2783,4.8263,2.2987,0.3804,0.171
19.3026,11.0686,9.0493,7.5513,6.6924,6.306,4.8508,2.3136,0.3825,0.1712
19.407,11.2647,9.2072,7.6708,6.7989,6.4196,4.9594,2.372,0.392,0.1718
19.5049,11.4512,9.3628,7.7884,6.9107,6.5249,5.0631,2.4223,0.4022,0.1723
