x,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
35.45892,0.0304,0.085,0.1045,0.1196,-0.0222,0.0621,0.0863,0.0208
35.46544,0.0317,0.0866,0.1041,0.1204,-0.021,0.0626,0.0866,0.027
35.46544,0.0317,0.0866,0.1041,0.1204,-0.021,0.0626,0.0866,0.027
35.46816,0.0323,0.0873,0.1039,0.1207,-0.0205,0.0629,0.0867,0.0295
35.46982,0.0326,0.0877,0.1038,0.1209,-0.0202,0.063,0.0868,0.0311
35.4707,0.0328,0.0879,0.1038,0.121,-0.0201,0.0631,0.0868,0.0319
35.47561,0.0338,0.0892,0.1035,0.1215,-0.0192,0.0635,0.0871,0.0365
35.61537,0.0626,0.1241,0.0951,0.1373,0.0059,0.0753,0.0932,0.1274
35.82397,0.1055,0.1763,0.083,0.1608,0.0434,0.0928,0.1023,0.1271
36.03257,0.1485,0.2286,0.0717,0.1843,0.0808,0.1104,0.1114,0.1269
36.24117,0.1914,0.2809,0.0617,0.2079,0.1183,0.128,0.1205,0.1267
36.44142,0.2327,0.3311,0.0539,0.2306,0.1542,0.1448,0.1292,0.041
36.49983,0.2447,0.3458,0.0521,0.2372,0.1646,0.1497,0.1318,0.1263
36.70843,0.2877,0.3983,0.0476,0.261,0.202,0.1673,0.1409,0.1261
36.91703,0.3307,0.4509,0.0471,0.285,0.2393,0.1848,0.15,0.1258
37.12563,0.3737,0.5037,0.0522,0.3092,0.2765,0.2024,0.1591,0.1256
37.33422,0.4168,0.5567,0.0652,0.3336,0.3136,0.2199,0.1682,0.0399
37.36222,0.4225,0.5638,0.0678,0.3369,0.3186,0.2222,0.1694,0.0472
37.45104,0.4409,0.5865,0.0774,0.3474,0.3343,0.2297,0.1733,0.1252
37.65129,0.4823,0.6378,0.1085,0.3715,0.3698,0.2465,0.182,0.125
37.85989,0.5254,0.6917,0.1573,0.397,0.4067,0.264,0.1911,0.1247
38.06849,0.5687,0.7462,0.2277,0.4235,0.4434,0.2814,0.2002,0.1245
38.30652,0.6183,0.8097,0.3486,0.4556,0.485,0.3013,0.2106,0.1239
38.3106,0.6191,0.8108,0.3513,0.4562,0.4857,0.3016,0.2108,0.1239
38.31258,0.6196,0.8113,0.3525,0.4565,0.4861,0.3018,0.2108,0.1239
38.39391,0.6366,0.8334,0.4137,0.4684,0.5003,0.3086,0.2144,0.1241
38.39392,0.6366,0.8334,0.4137,0.4684,0.5003,0.3086,0.2144,0.1241
38.51073,0.6613,0.8659,0.551,0.4869,0.5206,0.3183,0.2195,0.1246
38.60251,0.6811,0.8922,0.598,0.5036,0.5365,0.326,0.2235,0.1238
38.60252,0.6811,0.8922,0.598,0.5036,0.5365,0.326,0.2235,0.1238
38.71099,0.8413,0.9247,0.6362,0.5308,0.5552,0.335,0.2282,0.1215
38.71933,0.8465,0.9273,0.6397,0.5343,0.5566,0.3357,0.2286,0.1214
38.80278,0.8924,0.954,0.6793,0.5461,0.571,0.3426,0.2322,0.1231
38.8111,0.8962,0.9568,0.6833,0.5458,0.5724,0.3433,0.2326,0.1236
38.91959,0.9341,0.9952,0.7214,0.5494,0.5909,0.3523,0.2373,0.1316
38.92793,0.9369,0.9984,0.7225,0.5505,0.5924,0.353,0.2377,0.1319
39.01138,0.9775,1.0324,0.7293,0.5723,0.6066,0.3599,0.2413,0.1252
39.0197,0.9828,1.0361,0.7307,0.5756,0.608,0.3606,0.2416,0.1234
39.12819,1.0608,1.0881,0.8066,0.6312,0.6263,0.3696,0.2464,0.0833
39.13653,1.0672,1.0924,0.8198,0.6357,0.6277,0.3703,0.2467,0.0794
39.21996,1.133,1.1373,1.0056,0.6759,0.6418,0.3772,0.2504,0.0377
39.25793,1.1634,1.1583,1.0897,0.6921,0.6481,0.3803,0.252,0.0226
39.30342,1.2,1.1836,1.148,0.7108,0.6557,0.384,0.254,0.0261
39.32843,1.2201,1.1976,1.1504,0.7209,0.6599,0.3861,0.2551,0.0376
39.32844,1.2201,1.1976,1.1503,0.7209,0.6599,0.3861,0.2551,0.0376
39.34514,1.2334,1.207,1.1417,0.7277,0.6627,0.3875,0.2558,0.0464
39.48698,1.3443,1.2873,0.977,0.7855,0.6861,0.3991,0.262,0.1137
39.52034,1.3728,1.3064,0.9623,0.7992,0.6916,0.4019,0.2634,0.1228
39.53704,1.3881,1.316,0.9607,0.8061,0.6943,0.4032,0.2642,0.1257
39.55375,1.404,1.3256,0.9624,0.8129,0.697,0.4046,0.2649,0.1277
39.69559,1.5411,1.4081,1.0621,0.8711,0.72,0.4162,0.2711,0.123
39.72894,1.5647,1.4278,1.0969,0.8846,0.7253,0.4189,0.2725,0.1225
39.74565,1.5725,1.4376,1.1145,0.8912,0.7279,0.4202,0.2732,0.1232
39.754,1.5746,1.4426,1.1232,0.8946,0.7293,0.4209,0.2736,0.1238
39.89584,1.5969,1.5275,1.2327,0.9529,0.7515,0.4324,0.2798,0.1306
39.93754,1.6343,1.5529,1.2404,0.9723,0.7579,0.4358,0.2816,0.1223
39.9459,1.6426,1.558,1.241,0.9764,0.7592,0.4364,0.282,0.1196
39.96261,1.6597,1.5682,1.2421,0.9848,0.7618,0.4378,0.2827,0.1135
40.10445,1.8231,1.6566,1.3179,1.0504,0.7829,0.4491,0.2888,0.0457
40.14614,1.8743,1.6831,1.3882,1.0606,0.789,0.4524,0.2907,0.0366
40.1545,1.8847,1.6884,1.4048,1.0616,0.7902,0.4531,0.291,0.037
40.20672,1.9501,1.7221,1.5217,1.0584,0.7975,0.4572,0.2933,0.0618
40.26297,2.0215,1.759,1.6496,1.0499,0.8052,0.4616,0.2957,0.108
40.27133,2.0322,1.7646,1.6594,1.0498,0.8063,0.4622,0.2961,0.1134
40.28799,2.0535,1.7756,1.4031,1.0511,0.8085,0.4635,0.2968,0.1219
40.28799,2.0535,1.7756,1.4031,1.0511,0.8085,0.4635,0.2968,0.1219
40.28801,2.0535,1.7756,1.4031,1.0511,0.8085,0.4635,0.2968,0.1219
40.32138,2.0963,1.798,1.4018,1.0614,0.8128,0.4661,0.2983,0.1311
40.47157,2.2898,1.901,1.5496,1.185,0.7249,0.4608,0.3048,0.1245
40.49658,2.322,1.9185,1.5736,1.2065,0.7346,0.4626,0.3059,0.1216
40.49659,2.322,1.9185,1.5736,1.2065,0.7346,0.4626,0.3059,0.1216
40.49662,2.322,1.9185,1.5737,1.2065,0.7347,0.4626,0.3059,0.1216
40.52999,2.3646,1.9421,1.6004,1.232,0.7474,0.4645,0.3073,0.1185
40.58008,2.4277,1.9777,1.6284,1.2607,0.7664,0.4663,0.3095,0.1159
40.68017,2.5449,2.0497,1.6549,1.2967,0.8047,0.4651,0.3138,0.1189
40.69687,2.5617,2.0618,1.6588,1.302,0.8112,0.4638,0.3146,0.1205
40.70518,2.5694,2.0679,1.661,1.3048,0.8145,0.463,0.3149,0.1214
40.70519,2.5694,2.0679,1.661,1.3048,0.8145,0.463,0.3149,0.1214
40.73859,2.5927,2.0922,1.6719,1.3171,0.8279,0.4583,0.3164,0.1255
40.78033,2.5983,2.1227,1.6921,1.3373,0.8453,0.4492,0.3182,0.1305
40.88042,2.6486,2.1961,1.7891,1.4165,0.8899,0.4363,0.3225,0.1296
40.90548,2.673,2.2145,1.8294,1.4445,0.9005,0.4537,0.3236,0.1238
40.91378,2.6823,2.2206,1.8448,1.4547,0.904,0.4628,0.324,0.1211
40.91379,2.6823,2.2206,1.8448,1.4547,0.904,0.4628,0.324,0.1211
40.93884,2.7146,2.239,1.8964,1.4877,0.9143,0.4977,0.3251,0.1108
40.97225,2.7689,2.2635,1.9732,1.5371,0.9278,0.5532,0.3265,0.0931
41.08902,3.0493,2.349,2.1709,1.7065,0.9751,0.7112,0.3316,0.037
41.08905,3.0494,2.349,2.1709,1.7065,0.9751,0.7112,0.3316,0.037
41.10569,3.0895,2.3612,2.1714,1.7231,0.982,0.7188,0.3323,0.0355
41.10571,3.0895,2.3612,2.1714,1.7231,0.982,0.7188,0.3323,0.0355
41.13911,3.1587,2.3855,2.1497,1.7437,0.996,0.7165,0.3337,0.0411
41.15025,3.177,2.3936,2.1376,1.7458,1.0008,0.7111,0.3342,0.0451
41.16417,3.1958,2.4038,2.1203,1.7449,1.0067,0.7017,0.3348,0.0514
41.27261,3.2157,2.4823,1.9998,1.6715,1.0532,0.5797,0.3395,0.1138
41.28926,3.2095,2.4943,1.9974,1.6631,1.0602,0.5624,0.3402,0.1207
41.28928,3.2095,2.4943,1.9974,1.6631,1.0602,0.5624,0.3402,0.1207
41.30596,3.2034,2.5063,2.0006,1.6586,1.0672,0.5477,0.341,0.1259
41.31433,3.2008,2.5123,2.0041,1.6581,1.0707,0.5416,0.3413,0.1279
41.35608,3.1955,2.5423,2.0359,1.6718,1.0878,0.5226,0.3431,0.1332
41.47287,3.2738,2.6258,2.1704,1.7797,1.1352,0.5341,0.3482,0.1239
41.49786,3.301,2.6436,2.1927,1.8052,1.1454,0.5421,0.3493,0.1204
41.49788,3.301,2.6436,2.1927,1.8052,1.1454,0.5421,0.3493,0.1204
41.51456,3.3197,2.6554,2.205,1.8212,1.1523,0.5475,0.35,0.1183
41.52293,3.3292,2.6614,2.2105,1.8287,1.1557,0.5501,0.3504,0.1173
41.55634,3.3661,2.685,2.2283,1.8551,1.1697,0.5592,0.3518,0.1139
41.68147,3.4808,2.7731,2.2556,1.9083,1.2233,0.5626,0.3572,0.1159
41.69814,3.4938,2.7848,2.2569,1.9109,1.2306,0.5576,0.3579,0.1186
41.70646,3.5001,2.7906,2.2577,1.9119,1.2342,0.5546,0.3583,0.1202
41.72316,3.5126,2.8022,2.2597,1.9134,1.2416,0.5472,0.359,0.1238
41.73153,3.5187,2.8081,2.261,1.9139,1.2452,0.5429,0.3594,0.1258
41.7566,3.5367,2.8255,2.2673,1.9146,1.2562,0.5283,0.3605,0.1321
41.89008,3.6382,2.9175,2.4262,1.9517,1.3098,0.4976,0.3662,0.1331
41.90674,3.6538,2.9288,2.47,1.9674,1.3158,0.5117,0.3669,0.125
41.91506,3.6619,2.9345,2.4941,1.9767,1.3187,0.5214,0.3673,0.1199
41.93175,3.6791,2.9458,2.5461,1.999,1.3244,0.547,0.368,0.1078
41.93179,3.6792,2.9458,2.5462,1.999,1.3244,0.547,0.368,0.1078
41.95686,3.7073,2.9628,2.6309,2.0416,1.3328,0.6021,0.3691,0.0854
42.06531,3.8485,3.0349,2.9385,2.2728,1.3676,0.9175,0.3738,-0.0321
42.09862,3.8901,3.0566,2.8889,2.3242,1.3783,0.9679,0.3752,-0.0511
42.11533,3.9094,3.0673,2.8219,2.3405,1.3838,0.9738,0.3759,-0.041
42.11536,3.9094,3.0673,2.8218,2.3405,1.3838,0.9738,0.3759,-0.041
42.1654,3.9572,3.0989,2.6277,2.3484,1.4009,0.9152,0.3781,0.0956
42.17381,3.9633,3.1041,2.6097,2.3451,1.4039,0.8972,0.3785,0.1095
42.18206,3.9687,3.1091,2.5967,2.341,1.4069,0.878,0.3788,0.1196
42.18212,3.9688,3.1091,2.5967,2.341,1.4069,0.8779,0.3788,0.1197
42.18213,3.9688,3.1092,2.5966,2.3409,1.4069,0.8778,0.3788,0.1197
42.30727,4.0092,3.1772,2.6596,2.2548,1.4573,0.5596,0.3842,0.1369
42.31558,4.0117,3.1807,2.6704,2.2526,1.4609,0.5465,0.3846,0.1353
42.37401,4.0416,3.1902,2.7472,2.2571,1.486,0.512,0.3871,0.1226
42.38241,4.0485,3.1899,2.7575,2.2601,1.4896,0.5139,0.3874,0.1209
42.39066,4.0561,3.1943,2.7672,2.2634,1.4931,0.5171,0.3878,0.1194
42.39072,4.0561,3.1943,2.7672,2.2635,1.4931,0.5171,0.3878,0.1193
42.39073,4.0561,3.1943,2.7673,2.2635,1.4931,0.5171,0.3878,0.1193
42.51583,4.2286,3.3091,2.8503,2.34,1.5443,0.6317,0.3932,0.111
42.51587,4.2286,3.3092,2.8503,2.34,1.5444,0.6317,0.3932,0.111
42.57432,4.3045,3.3547,2.8539,2.3711,1.5679,0.6584,0.3957,0.1159
42.58261,4.312,3.36,2.8533,2.3748,1.5712,0.6597,0.396,0.1169
42.59098,4.3185,3.3649,2.8524,2.3785,1.5746,0.6605,0.3964,0.118
42.59099,4.3185,3.3649,2.8524,2.3785,1.5746,0.6605,0.3964,0.118
42.59926,4.324,3.3693,2.8514,2.3819,1.5779,0.6608,0.3968,0.1191
42.71613,4.3599,3.4015,2.8549,2.4252,1.6266,0.6343,0.4018,0.1319
42.72443,4.3632,3.4046,2.8589,2.4283,1.6302,0.6315,0.4021,0.1319
42.77458,4.3897,3.4314,2.9015,2.4483,1.6526,0.616,0.4043,0.1276
42.78286,4.3951,3.4372,2.9122,2.4517,1.6564,0.6139,0.4046,0.126
42.79958,4.4067,3.4501,2.9376,2.4586,1.6641,0.6102,0.4053,0.1216
42.79959,4.4068,3.4501,2.9376,2.4586,1.6641,0.6102,0.4053,0.1216
42.80786,4.4128,3.457,2.9521,2.4621,1.6679,0.6087,0.4057,0.1189
42.92473,4.5141,3.5737,3.2307,2.5104,1.7201,0.6259,0.4107,0.0569
42.93303,4.5221,3.5827,3.2505,2.5136,1.7233,0.6312,0.4111,0.0526
42.99146,4.5808,3.6467,3.3566,2.5358,1.7415,0.6864,0.4136,0.0336
42.99977,4.5895,3.6558,3.3644,2.5392,1.743,0.6959,0.4139,0.0332
42.99984,4.5896,3.6559,3.3644,2.5392,1.743,0.696,0.4139,0.0332
43.09995,4.7008,3.7608,3.2955,2.5956,1.7391,0.7948,0.4182,0.0735
43.1166,4.7207,3.7765,3.2689,2.6087,1.7414,0.8018,0.4189,0.0839
43.11662,4.7207,3.7765,3.2689,2.6087,1.7414,0.8018,0.4189,0.084
43.12504,4.7309,3.7841,3.2557,2.6157,1.7432,0.8038,0.4193,0.0891
43.13336,4.7412,3.7914,3.2431,2.6229,1.7454,0.8047,0.4196,0.0941
43.17506,4.7952,3.8226,3.1934,2.6603,1.7597,0.7973,0.4214,0.1153
43.18334,4.8064,3.8277,3.1873,2.6679,1.763,0.794,0.4218,0.1184
43.30021,4.9682,3.865,3.2036,2.7662,1.8152,0.7247,0.4267,0.128
43.31685,4.9869,3.8699,3.2161,2.777,1.8228,0.7162,0.4274,0.1264
43.31695,4.987,3.8699,3.2161,2.7771,1.8228,0.7161,0.4274,0.1264
43.32522,4.9955,3.873,3.2229,2.7821,1.8266,0.7124,0.4278,0.1255
43.33361,5.0036,3.8765,3.2301,2.787,1.8303,0.709,0.4281,0.1246
43.38366,5.0466,3.9064,3.2786,2.8113,1.8521,0.6961,0.4303,0.1189
43.39194,5.0531,3.9125,3.2872,2.8147,1.8556,0.6951,0.4306,0.1182
43.50881,5.1494,4.0148,3.4044,2.8513,1.9023,0.71,0.4356,0.1153
43.51721,5.1575,4.0228,3.4111,2.8536,1.9055,0.7129,0.4359,0.1155
43.52545,5.1659,4.0308,3.4174,2.8558,1.9086,0.7159,0.4363,0.1157
43.53382,5.1746,4.039,3.4233,2.8582,1.9117,0.7192,0.4366,0.1159
43.54222,5.1837,4.0471,3.4287,2.8605,1.9148,0.7226,0.437,0.1162
43.59227,5.2432,4.0952,3.4491,2.8758,1.9335,0.7455,0.4391,0.1177
43.60054,5.2538,4.1029,3.4502,2.8786,1.9367,0.7495,0.4395,0.1179
43.71742,5.4135,4.1994,3.4505,2.9365,1.9886,0.7975,0.4444,0.1185
