week,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
0.0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0
3.0,0,0,11886,0,0,0,0,0
4.0,0,0,2771,0,0,0,0,0
5.0,0,0,2724,0,0,0,0,0
6.0,0,0,4190,0,0,0,0,0
7.0,0,0,3184,0,9550,0,0,0
8.0,0,14414,1730,14280,746,0,0,0
9.0,11573,11756,6214,13852,2612,0,0,0
10.0,9294,6157,5352,3059,2454,0,0,0
11.0,4298,1818,2974,625,1495,0,0,0
12.0,11078,6265,5010,1224,4956,0,0,0
13.0,23756,11143,16343,9071,6191,4810,3204,0
14.0,30041,28600,42373,32134,5124,4385,198,0
15.0,53175,48263,49612,37181,21965,1863,205,0
16.0,59383,62271,30557,33017,28548,7557,210,0
17.0,50759,45906,52089,46563,29197,3371,176,0
18.0,78706,69912,66697,58872,37157,10647,361,0
19.0,54403,42260,19366,35197,27096,8239,723,0
20.0,70598,62722,66011,35902,28868,7024,2552,0
21.0,107231,84290,74987,62122,40763,14479,5768,0
22.0,115268,108885,88681,64516,46459,20457,6536,0
23.0,131753,106077,84677,72944,42099,12984,4869,0
24.0,133045,100849,74012,51593,43827,15643,3736,0
25.0,139609,82020,79361,56240,42017,18248,2326,0
26.0,136920,91909,85686,66465,41335,11593,3193,0
27.0,170322,102007,68488,58134,41263,13439,3478,0
28.0,214338,98429,61833,28978,30126,13160,3611,0
29.0,269838,96969,53248,39221,21148,10373,3206,0
30.0,234367,133352,68662,31766,21450,7279,2190,0
31.0,257678,292506,156545,75138,41516,18626,3428,0
32.0,181687,295080,182130,72552,44988,19273,2437,0
33.0,120387,220135,275236,105988,58211,24566,3262,3753
34.0,95385,177701,263626,178300,79119,31099,3464,92
35.0,55265,142270,180341,255241,150771,60500,3346,93
36.0,36634,102835,155651,233577,228521,111296,3360,97
37.0,30482,87997,136707,184523,210951,118944,2611,101
38.0,17983,49211,96990,142279,159097,97313,1788,94
39.0,22106,44092,80478,136828,123412,92271,3431,103
40.0,17973,43954,52042,81628,107980,65963,2710,119
41.0,14866,22023,33651,52670,57282,38702,3197,110
42.0,10893,19420,32984,33574,43003,27356,5371,120
43.0,8435,17938,22920,33904,30013,17600,10295,117
44.0,8576,13802,20196,33479,20742,22914,16290,128
45.0,9538,15197,17304,10038,22085,14683,16227,33
46.0,8739,9087,17921,26681,20954,15556,13534,568
47.0,9319,16582,18647,38489,24799,14300,11698,-106
48.0,5969,11217,16112,2832,20689,11629,12698,1247
49.0,7172,11158,12520,15537,18031,9464,15291,-52
50.0,8004,10310,18737,20532,15978,9996,44848,2003
51.0,7863,12338,12369,22474,17856,12757,71945,2073
52.0,10225,12668,18758,23677,20037,8645,63537,4919
53.0,8379,17647,25535,23214,28831,20316,77206,1955
54.0,7026,10892,10305,15876,18470,12746,49733,8718
55.0,7215,5266,24711,13326,13324,7978,30464,26443
56.0,7586,13974,12711,12359,8264,9229,32629,35558
